top_category,sub_category,naics_code,n_pois,naics_2digit
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Offices of Certified Public Accountants,541211,1,54
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Other Accounting Services,541219,2506,54
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213,14022,54
Activities Related to Credit Intermediation,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",522320,255,52
Activities Related to Credit Intermediation,Mortgage and Nonmortgage Loan Brokers,522310,65976,52
Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390,9746,52
Activities Related to Real Estate,Other Activities Related to Real Estate,531390,1,53
Activities Related to Real Estate,Residential Property Managers,531311,64515,53
Administration of Economic Programs,Regulation and Administration of Transportation Programs,926120,10499,92
"Administration of Housing Programs, Urban Planning, and Community Development",Administration of Housing Programs,925110,2,92
Administration of Human Resource Programs,Administration of Public Health Programs,923120,17,92
Administration of Human Resource Programs,Administration of Veterans' Affairs,923140,4,92
"Advertising, Public Relations, and Related Services",Advertising Agencies,541810,48,54
"Advertising, Public Relations, and Related Services",Direct Mail Advertising,541860,408,54
Aerospace Product and Parts Manufacturing,Aircraft Manufacturing,336411,16,33
"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210,190289,52
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",711410,6,71
"Agriculture, Construction, and Mining Machinery Manufacturing",Construction Machinery Manufacturing,333120,95,33
Alumina and Aluminum Production and Processing,Alumina Refining and Primary Aluminum Production,331313,6,33
Amusement Parks and Arcades,Amusement Arcades,713120,961,71
Amusement Parks and Arcades,Amusement and Theme Parks,713110,17940,71
Apparel Accessories and Other Apparel Manufacturing,Apparel Accessories and Other Apparel Manufacturing,315990,563,31
Apparel Knitting Mills,Other Apparel Knitting Mills,315190,2,31
Architectural and Structural Metals Manufacturing,Plate Work Manufacturing,332313,40,33
Architectural and Structural Metals Manufacturing,Prefabricated Metal Building and Component Manufacturing,332311,34,33
"Architectural, Engineering, and Related Services",Architectural Services,541310,1171,54
"Architectural, Engineering, and Related Services",Drafting Services,541340,1,54
"Architectural, Engineering, and Related Services",Engineering Services,541330,3,54
"Architectural, Engineering, and Related Services",Testing Laboratories,541380,5,54
Automobile Dealers,New Car Dealers,441110,18601,44
Automobile Dealers,Used Car Dealers,441120,47897,44
Automotive Equipment Rental and Leasing,Passenger Car Rental,532111,18208,53
Automotive Equipment Rental and Leasing,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",532120,7353,53
"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,39262,44
"Automotive Parts, Accessories, and Tire Stores",Tire Dealers,441320,16537,44
Automotive Repair and Maintenance,All Other Automotive Repair and Maintenance,811198,2589,81
Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance",811121,5702,81
Automotive Repair and Maintenance,Automotive Glass Replacement Shops,811122,2234,81
Automotive Repair and Maintenance,Automotive Oil Change and Lubrication Shops,811191,6784,81
Automotive Repair and Maintenance,Automotive Transmission Repair,811113,1018,81
Automotive Repair and Maintenance,Car Washes,811192,4443,81
Automotive Repair and Maintenance,General Automotive Repair,811111,17645,81
Automotive Repair and Maintenance,Other Automotive Mechanical and Electrical Repair and Maintenance,811118,2304,81
Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,22439,31
"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310,41352,44
Beverage Manufacturing,Breweries,312120,10682,31
Beverage Manufacturing,Distilleries,312140,1204,31
Beverage Manufacturing,Ice Manufacturing,312113,92,31
Beverage Manufacturing,Wineries,312130,5364,31
