year,month,date,partisan_conflict_index
1981,1,1981-01-01,68.9448
1981,2,1981-02-01,64.9071
1981,3,1981-03-01,79.0585
1981,4,1981-04-01,69.324
1981,5,1981-05-01,88.1945
1981,6,1981-06-01,101.8847
1981,7,1981-07-01,89.1471
1981,8,1981-08-01,66.0298
1981,9,1981-09-01,87.8025
1981,10,1981-10-01,101.4595
1981,11,1981-11-01,110.8266
1981,12,1981-12-01,87.211
1982,1,1982-01-01,70.7138
1982,2,1982-02-01,75.467
1982,3,1982-03-01,97.7716
1982,4,1982-04-01,94.3986
1982,5,1982-05-01,98.3905
1982,6,1982-06-01,93.5856
1982,7,1982-07-01,89.672
1982,8,1982-08-01,87.0335
1982,9,1982-09-01,102.35
1982,10,1982-10-01,82.7859
1982,11,1982-11-01,84.2352
1982,12,1982-12-01,115.5645
1983,1,1983-01-01,99.812
1983,2,1983-02-01,92.9713
1983,3,1983-03-01,97.7709
1983,4,1983-04-01,87.2414
1983,5,1983-05-01,103.0725
1983,6,1983-06-01,117.5958
1983,7,1983-07-01,112.8495
1983,8,1983-08-01,68.2998
1983,9,1983-09-01,69.8717
1983,10,1983-10-01,85.0945
1983,11,1983-11-01,101.4173
1983,12,1983-12-01,82.659
1984,1,1984-01-01,130.61
1984,2,1984-02-01,111.6351
1984,3,1984-03-01,126.102
1984,4,1984-04-01,97.6476
1984,5,1984-05-01,104.165
1984,6,1984-06-01,133.595
1984,7,1984-07-01,102.0254
1984,8,1984-08-01,119.0725
1984,9,1984-09-01,118.0897
1984,10,1984-10-01,117.7423
1984,11,1984-11-01,110.2224
1984,12,1984-12-01,99.5764
1985,1,1985-01-01,97.7367
1985,2,1985-02-01,123.4291
1985,3,1985-03-01,124.3194
1985,4,1985-04-01,96.6278
1985,5,1985-05-01,107.9941
1985,6,1985-06-01,121.8628
1985,7,1985-07-01,113.4225
1985,8,1985-08-01,95.566
1985,9,1985-09-01,118.478
1985,10,1985-10-01,114.1836
1985,11,1985-11-01,106.9545
1985,12,1985-12-01,112.7168
1986,1,1986-01-01,86.3983
1986,2,1986-02-01,99.1912
1986,3,1986-03-01,105.4741
1986,4,1986-04-01,101.8108
1986,5,1986-05-01,102.3227
1986,6,1986-06-01,111.2172
1986,7,1986-07-01,90.0245
1986,8,1986-08-01,121.2877
1986,9,1986-09-01,119.6535
1986,10,1986-10-01,140.5917
1986,11,1986-11-01,88.682
1986,12,1986-12-01,80.185
1987,1,1987-01-01,104.2667
1987,2,1987-02-01,110.4769
1987,3,1987-03-01,108.5366
1987,4,1987-04-01,94.5525
1987,5,1987-05-01,90.3653
1987,6,1987-06-01,108.113
1987,7,1987-07-01,114.1071
1987,8,1987-08-01,81.749
1987,9,1987-09-01,105.5264
1987,10,1987-10-01,101.0978
1987,11,1987-11-01,98.5957
1987,12,1987-12-01,101.1586
1988,1,1988-01-01,95.9481
1988,2,1988-02-01,92.7181
1988,3,1988-03-01,100.1744
1988,4,1988-04-01,108.0801
1988,5,1988-05-01,100.0257
1988,6,1988-06-01,103.978
1988,7,1988-07-01,104.9983
1988,8,1988-08-01,101.5759
1988,9,1988-09-01,99.948
1988,10,1988-10-01,104.3468
1988,11,1988-11-01,103.5243
1988,12,1988-12-01,76.2097
1989,1,1989-01-01,82.1336
1989,2,1989-02-01,77.5618
1989,3,1989-03-01,82.7865
1989,4,1989-04-01,82.249
1989,5,1989-05-01,92.1965
1989,6,1989-06-01,95.5717
1989,7,1989-07-01,97.2504
1989,8,1989-08-01,68.8274
1989,9,1989-09-01,87.4558
1989,10,1989-10-01,98.8228
1989,11,1989-11-01,102.4278
1989,12,1989-12-01,76.488
1990,1,1990-01-01,82.8994
1990,2,1990-02-01,87.9315
1990,3,1990-03-01,92.533
1990,4,1990-04-01,88.6891
1990,5,1990-05-01,100.2103
1990,6,1990-06-01,105.1227
1990,7,1990-07-01,106.3184
1990,8,1990-08-01,94.0284
1990,9,1990-09-01,101.6404
1990,10,1990-10-01,147.6549
1990,11,1990-11-01,107.4832
1990,12,1990-12-01,85.4887
1991,1,1991-01-01,85.9788
1991,2,1991-02-01,85.5268
1991,3,1991-03-01,93.2095
1991,4,1991-04-01,94.408
1991,5,1991-05-01,112.1115
1991,6,1991-06-01,125.5276
1991,7,1991-07-01,120.5971
1991,8,1991-08-01,87.7178
1991,9,1991-09-01,107.4072
1991,10,1991-10-01,117.9353
1991,11,1991-11-01,115.0038
1991,12,1991-12-01,77.5223
1992,1,1992-01-01,82.6361
1992,2,1992-02-01,93.11
1992,3,1992-03-01,109.5637
1992,4,1992-04-01,99.6233
1992,5,1992-05-01,106.5464
1992,6,1992-06-01,117.97
1992,7,1992-07-01,115.4219
1992,8,1992-08-01,111.3174
1992,9,1992-09-01,117.9698
1992,10,1992-10-01,133.4914
1992,11,1992-11-01,115.4351
1992,12,1992-12-01,80.1148
1993,1,1993-01-01,92.7725
1993,2,1993-02-01,96.6843
1993,3,1993-03-01,96.5587
1993,4,1993-04-01,130.0348
1993,5,1993-05-01,121.8028
1993,6,1993-06-01,101.8069
1993,7,1993-07-01,91.6944
1993,8,1993-08-01,91.397
1993,9,1993-09-01,88.1963
1993,10,1993-10-01,90.1968
1993,11,1993-11-01,89.6149
1993,12,1993-12-01,81.7777
1994,1,1994-01-01,79.7983
1994,2,1994-02-01,79.004
1994,3,1994-03-01,78.2554
1994,4,1994-04-01,72.8763
1994,5,1994-05-01,77.5532
1994,6,1994-06-01,85.4763
1994,7,1994-07-01,79.8245
1994,8,1994-08-01,84.6849
1994,9,1994-09-01,85.3762
1994,10,1994-10-01,95.5686
1994,11,1994-11-01,113.4093
1994,12,1994-12-01,82.9328
1995,1,1995-01-01,98.5714
1995,2,1995-02-01,113.2226
1995,3,1995-03-01,106.5174
1995,4,1995-04-01,102.5159
1995,5,1995-05-01,111.9655
1995,6,1995-06-01,117.7089
1995,7,1995-07-01,99.1167
1995,8,1995-08-01,87.2416
1995,9,1995-09-01,100.3453
1995,10,1995-10-01,104.1378
1995,11,1995-11-01,138.0009
1995,12,1995-12-01,129.2354
1996,1,1996-01-01,128.3683
1996,2,1996-02-01,99.0525
1996,3,1996-03-01,119.4375
1996,4,1996-04-01,107.4924
1996,5,1996-05-01,120.6261
1996,6,1996-06-01,102.9454
1996,7,1996-07-01,99.3899
1996,8,1996-08-01,108.962
1996,9,1996-09-01,90.0516
1996,10,1996-10-01,96.1487
1996,11,1996-11-01,84.6349
1996,12,1996-12-01,76.4073
1997,1,1997-01-01,82.7767
1997,2,1997-02-01,85.2869
1997,3,1997-03-01,90.0485
1997,4,1997-04-01,86.8524
1997,5,1997-05-01,91.2739
1997,6,1997-06-01,99.9241
1997,7,1997-07-01,76.0008
1997,8,1997-08-01,74.9297
1997,9,1997-09-01,81.1857
1997,10,1997-10-01,90.1485
1997,11,1997-11-01,87.2929
1997,12,1997-12-01,70.2411
1998,1,1998-01-01,72.0127
1998,2,1998-02-01,79.0323
1998,3,1998-03-01,88.8667
1998,4,1998-04-01,89.5109
1998,5,1998-05-01,96.8416
1998,6,1998-06-01,91.2353
1998,7,1998-07-01,87.6831
1998,8,1998-08-01,83.5522
1998,9,1998-09-01,98.4152
1998,10,1998-10-01,117.6479
1998,11,1998-11-01,81.863
1998,12,1998-12-01,83.7086
1999,1,1999-01-01,84.1225
1999,2,1999-02-01,84.1472
1999,3,1999-03-01,85.8651
1999,4,1999-04-01,83.7859
1999,5,1999-05-01,93.1483
1999,6,1999-06-01,89.2305
1999,7,1999-07-01,95.4531
1999,8,1999-08-01,83.1557
1999,9,1999-09-01,91.4031
1999,10,1999-10-01,105.5181
1999,11,1999-11-01,88.7687
1999,12,1999-12-01,62.7742
2000,1,2000-01-01,77.2809
2000,2,2000-02-01,86.6387
2000,3,2000-03-01,94.6679
2000,4,2000-04-01,80.7566
2000,5,2000-05-01,79.5053
2000,6,2000-06-01,73.7956
2000,7,2000-07-01,86.9275
2000,8,2000-08-01,64.7842
2000,9,2000-09-01,66.2736
2000,10,2000-10-01,85.124
2000,11,2000-11-01,105.8877
2000,12,2000-12-01,98.496
2001,1,2001-01-01,83.4916
2001,2,2001-02-01,79.0329
2001,3,2001-03-01,78.2309
2001,4,2001-04-01,77.7517
2001,5,2001-05-01,85.5318
2001,6,2001-06-01,89.3498
2001,7,2001-07-01,71.7001
2001,8,2001-08-01,72.7482
2001,9,2001-09-01,59.2618
2001,10,2001-10-01,70.4626
2001,11,2001-11-01,80.9342
2001,12,2001-12-01,73.8499
2002,1,2002-01-01,74.4982
2002,2,2002-02-01,89.1528
2002,3,2002-03-01,86.6726
2002,4,2002-04-01,74.8883
2002,5,2002-05-01,74.5035
2002,6,2002-06-01,79.5609
2002,7,2002-07-01,72.5567
2002,8,2002-08-01,65.9263
2002,9,2002-09-01,73.7926
2002,10,2002-10-01,96.8726
2002,11,2002-11-01,88.9827
2002,12,2002-12-01,65.7287
2003,1,2003-01-01,76.7829
2003,2,2003-02-01,75.374
2003,3,2003-03-01,88.4933
2003,4,2003-04-01,87.583
2003,5,2003-05-01,111.1496
2003,6,2003-06-01,94.0014
2003,7,2003-07-01,87.2142
2003,8,2003-08-01,83.7503
2003,9,2003-09-01,89.3633
2003,10,2003-10-01,94.1811
2003,11,2003-11-01,108.0156
2003,12,2003-12-01,78.2099
2004,1,2004-01-01,92.8448
2004,2,2004-02-01,91.0947
2004,3,2004-03-01,98.5507
2004,4,2004-04-01,92.5315
2004,5,2004-05-01,85.3318
2004,6,2004-06-01,84.5139
2004,7,2004-07-01,105.0042
2004,8,2004-08-01,88.1647
2004,9,2004-09-01,79.7652
2004,10,2004-10-01,123.4062
2004,11,2004-11-01,106.3238
2004,12,2004-12-01,69.9457
2005,1,2005-01-01,88.5421
2005,2,2005-02-01,90.7214
2005,3,2005-03-01,100.0723
2005,4,2005-04-01,111.9536
2005,5,2005-05-01,121.2232
2005,6,2005-06-01,100.3141
2005,7,2005-07-01,94.7711
2005,8,2005-08-01,64.2041
2005,9,2005-09-01,61.4512
2005,10,2005-10-01,74.3946
2005,11,2005-11-01,83.7018
2005,12,2005-12-01,79.0744
2006,1,2006-01-01,86.0796
2006,2,2006-02-01,83.0792
2006,3,2006-03-01,91.4856
2006,4,2006-04-01,92.1733
2006,5,2006-05-01,86.0327
2006,6,2006-06-01,83.6738
2006,7,2006-07-01,81.8282
2006,8,2006-08-01,74.157
2006,9,2006-09-01,74.1092
2006,10,2006-10-01,80.1633
2006,11,2006-11-01,82.0546
2006,12,2006-12-01,59.1893
2007,1,2007-01-01,80.0732
2007,2,2007-02-01,72.7016
2007,3,2007-03-01,85.4374
2007,4,2007-04-01,84.5404
2007,5,2007-05-01,96.2704
2007,6,2007-06-01,88.765
2007,7,2007-07-01,82.3079
2007,8,2007-08-01,72.0149
2007,9,2007-09-01,80.8222
2007,10,2007-10-01,88.8798
2007,11,2007-11-01,80.1359
2007,12,2007-12-01,86.5367
2008,1,2008-01-01,84.8481
2008,2,2008-02-01,82.4753
2008,3,2008-03-01,90.8661
2008,4,2008-04-01,85.5214
2008,5,2008-05-01,91.3523
2008,6,2008-06-01,81.5336
2008,7,2008-07-01,80.4223
2008,8,2008-08-01,75.0161
2008,9,2008-09-01,83.5488
2008,10,2008-10-01,93.0035
2008,11,2008-11-01,94.9643
2008,12,2008-12-01,73.8457
2009,1,2009-01-01,78.7717
2009,2,2009-02-01,88.5499
2009,3,2009-03-01,88.0357
2009,4,2009-04-01,88.3121
2009,5,2009-05-01,89.168
2009,6,2009-06-01,96.2624
2009,7,2009-07-01,102.6631
2009,8,2009-08-01,78.675
2009,9,2009-09-01,86.1763
2009,10,2009-10-01,90.5376
2009,11,2009-11-01,87.7673
2009,12,2009-12-01,90.2511
2010,1,2010-01-01,121.9005
2010,2,2010-02-01,131.6508
2010,3,2010-03-01,142.423
2010,4,2010-04-01,134.7146
2010,5,2010-05-01,127.0943
2010,6,2010-06-01,116.7395
2010,7,2010-07-01,120.4218
2010,8,2010-08-01,106.2629
2010,9,2010-09-01,118.7393
2010,10,2010-10-01,147.5239
2010,11,2010-11-01,146.0501
2010,12,2010-12-01,156.4436
2011,1,2011-01-01,157.2282
2011,2,2011-02-01,142.2097
2011,3,2011-03-01,155.8277
2011,4,2011-04-01,146.407
2011,5,2011-05-01,126.442
2011,6,2011-06-01,145.2583
2011,7,2011-07-01,170.1435
2011,8,2011-08-01,143.3573
2011,9,2011-09-01,135.8016
2011,10,2011-10-01,129.7467
2011,11,2011-11-01,135.1431
2011,12,2011-12-01,138.5729
2012,1,2012-01-01,130.08
2012,2,2012-02-01,153.6962
2012,3,2012-03-01,154.1801
2012,4,2012-04-01,139.5358
2012,5,2012-05-01,143.5624
2012,6,2012-06-01,160.611
2012,7,2012-07-01,138.2971
2012,8,2012-08-01,138.4263
2012,9,2012-09-01,133.0363
2012,10,2012-10-01,147.5542
2012,11,2012-11-01,151.9963
2012,12,2012-12-01,148.4973
2013,1,2013-01-01,159.496
2013,2,2013-02-01,142.7629
2013,3,2013-03-01,180.5567
2013,4,2013-04-01,152.0744
2013,5,2013-05-01,136.858
2013,6,2013-06-01,150.2042
2013,7,2013-07-01,162.0665
2013,8,2013-08-01,136.4904
2013,9,2013-09-01,175.7433
2013,10,2013-10-01,252.1024
2013,11,2013-11-01,148.0526
2013,12,2013-12-01,131.3081
2014,1,2014-01-01,155.6635
2014,2,2014-02-01,141.9133
2014,3,2014-03-01,131.3985
2014,4,2014-04-01,131.5717
2014,5,2014-05-01,141.8388
2014,6,2014-06-01,140.7494
2014,7,2014-07-01,140.6368
2014,8,2014-08-01,120.2496
2014,9,2014-09-01,116.67
2014,10,2014-10-01,137.66
2014,11,2014-11-01,181.72
2014,12,2014-12-01,143.79
2015,1,2015-01-01,160.87
2015,2,2015-02-01,162.37
2015,3,2015-03-01,163.54
2015,4,2015-04-01,146.34
2015,5,2015-05-01,156.1
2015,6,2015-06-01,162.59
2015,7,2015-07-01,136.55
2015,8,2015-08-01,114.78
2015,9,2015-09-01,130.66
2015,10,2015-10-01,146.35
2015,11,2015-11-01,128.1
2015,12,2015-12-01,137.14
2016,1,2016-01-01,168.09
2016,2,2016-02-01,181.73
2016,3,2016-03-01,173.88
2016,4,2016-04-01,158.96
2016,5,2016-05-01,149.85
2016,6,2016-06-01,160.63
2016,7,2016-07-01,157.62
2016,8,2016-08-01,133.85
2016,9,2016-09-01,132.47
2016,10,2016-10-01,155.96
2016,11,2016-11-01,219.39
2016,12,2016-12-01,173.35
2017,1,2017-01-01,239.87
2017,2,2017-02-01,241.4835
2017,3,2017-03-01,271.29
2017,4,2017-04-01,207.96
2017,5,2017-05-01,198.96
2017,6,2017-06-01,200.1
2017,7,2017-07-01,245.14
2017,8,2017-08-01,185.32
2017,9,2017-09-01,196.04
2017,10,2017-10-01,175.36
2017,11,2017-11-01,181.47
2017,12,2017-12-01,166.25
2018,1,2018-01-01,169.95
2018,2,2018-02-01,168.55
2018,3,2018-03-01,167.35
2018,4,2018-04-01,137.95
2018,5,2018-05-01,147.46
2018,6,2018-06-01,158.64
2018,7,2018-07-01,132.86
2018,8,2018-08-01,149.65
2018,9,2018-09-01,126.39
2018,10,2018-10-01,164.17
2018,11,2018-11-01,163.16
2018,12,2018-12-01,159.63
2019,1,2019-01-01,204.0
2019,2,2019-02-01,166.7
2019,3,2019-03-01,160.59
2019,4,2019-04-01,141.31
2019,5,2019-05-01,153.04
2019,6,2019-06-01,144.45
2019,7,2019-07-01,141.74
2019,8,2019-08-01,129.39
2019,9,2019-09-01,133.58
2019,10,2019-10-01,109.02
2019,11,2019-11-01,117.85
2019,12,2019-12-01,130.52
2020,1,2020-01-01,143.2
2020,2,2020-02-01,150.99
2020,3,2020-03-01,59.01
2020,4,2020-04-01,34.74
2020,5,2020-05-01,41.98
2020,6,2020-06-01,93.74
2020,7,2020-07-01,82.09
2020,8,2020-08-01,98.07
2020,9,2020-09-01,116.31
2020,10,2020-10-01,137.03
2020,11,2020-11-01,156.84
2020,12,2020-12-01,117.87
2021,1,2021-01-01,168.71
2021,2,2021-02-01,124.17
2021,3,2021-03-01,134.64
2021,4,2021-04-01,131.04
2021,5,2021-05-01,122.89
2021,6,2021-06-01,145.04
2021,7,2021-07-01,122.3
2021,8,2021-08-01,98.15
2021,9,2021-09-01,116.51
2021,10,2021-10-01,134.8
2021,11,2021-11-01,132.07
2021,12,2021-12-01,119.52
2022,1,2022-01-01,155.78
2022,2,2022-02-01,119.5
2022,3,2022-03-01,130.44
2022,4,2022-04-01,140.99
2022,5,2022-05-01,110.38
2022,6,2022-06-01,130.64
2022,7,2022-07-01,107.25
2022,8,2022-08-01,121.24
2022,9,2022-09-01,117.88
2022,10,2022-10-01,119.22
2022,11,2022-11-01,146.6
2022,12,2022-12-01,131.88
2023,1,2023-01-01,157.88
2023,2,2023-02-01,135.38
2023,3,2023-03-01,154.35
2023,4,2023-04-01,142.57
2023,5,2023-05-01,185.84
2023,6,2023-06-01,146.94
2023,7,2023-07-01,115.06
2023,8,2023-08-01,102.88
2023,9,2023-09-01,136.39
2023,10,2023-10-01,120.88
2023,11,2023-11-01,112.56
2023,12,2023-12-01,117.46
2024,1,2024-01-01,131.15
2024,2,2024-02-01,131.52
2024,3,2024-03-01,141.55
2024,4,2024-04-01,119.98
2024,5,2024-05-01,113.41
2024,6,2024-06-01,104.1
2024,7,2024-07-01,132.53
2024,8,2024-08-01,101.38
2024,9,2024-09-01,116.68
2024,10,2024-10-01,143.84
2024,11,2024-11-01,178.38
2024,12,2024-12-01,129.2
2025,1,2025-01-01,153.74
2025,2,2025-02-01,144.96
2025,3,2025-03-01,170.35
2025,4,2025-04-01,176.35
2025,5,2025-05-01,172.68
2025,6,2025-06-01,193.64
